Season,Player,Pos,Value
2021,Derrick Henry,RB,95
2021,Tom Brady,QB,77
2022,Christian McCaffrey,RB,105
2022,Derrick Henry,RB,105
2022,Alvin Kamara,RB,96
2022,Aaron Jones,RB,96
2022,Tom Brady,QB,84
2022,Kyler Murray,QB,83
2022,Josh Allen,QB,80
2022,Davante Adams,WR,69
2023,Josh Allen,QB,101
2023,TJ Hockenson,TE,35
2023,Deebo Samuel,WR,69
2023,Cooper Kupp,WR,69
2023,Christian McCaffrey,RB,121
2023,Travis Kelce,TE,47
2023,Austin Ekeler,RB,108
2023,Stefon Diggs,WR,87
2023,DK Metcalf,WR,69
2023,Amari Cooper,WR,69
2024,AJ Brown,WR,74
2024,Jalen Hurts,QB,101
2024,Josh Jacobs,RB,107
2024,Tyreek Hill,WR,74
2024,Mark Andrews,TE,37
2024,Patrick Mahomes,QB,101
2024,Travis Kelce,TE,48
2024,Matthew Stafford,QB,101
2024,Lamar Jackson,QB,101
2024,Cooper Kupp,WR,88
